"Results from CVodes cvsDiurnal_kry"
"time";      "C1(0,0)"
3.49e+04;    8.446e+04 
3.50e+04;    7.319e+04 
3.51e+04;    6.318e+04 
3.52e+04;    5.432e+04 
3.53e+04;    4.652e+04 
3.54e+04;    3.966e+04 
3.55e+04;    3.367e+04 
3.56e+04;    2.845e+04 
3.57e+04;    2.392e+04 
3.58e+04;    2.002e+04 
3.59e+04;    1.667e+04 
3.60e+04;    1.380e+04 
3.61e+04;    1.136e+04 
3.62e+04;    9.298e+03 
3.63e+04;    7.564e+03 
3.64e+04;    6.114e+03 
3.65e+04;    4.910e+03 
3.66e+04;    3.915e+03 
3.67e+04;    3.099e+03 
3.68e+04;    2.434e+03 
3.69e+04;    1.897e+03 
3.70e+04;    1.466e+03 
3.71e+04;    1.123e+03 
3.72e+04;    8.524e+02 
3.73e+04;    6.407e+02 
3.74e+04;    4.767e+02 
3.75e+04;    3.509e+02 
3.76e+04;    2.554e+02 
3.77e+04;    1.837e+02 
3.78e+04;    1.304e+02 
3.79e+04;    9.141e+01 
3.80e+04;    6.317e+01 
3.81e+04;    4.301e+01 
3.82e+04;    2.882e+01 
3.83e+04;    1.899e+01 
3.84e+04;    1.230e+01 
3.85e+04;    7.812e+00 
3.86e+04;    4.864e+00 
3.87e+04;    2.963e+00 
3.88e+04;    1.765e+00 
3.89e+04;    1.025e+00 
3.90e+04;    5.804e-01 
3.91e+04;    3.193e-01 
3.92e+04;    1.704e-01 
3.93e+04;    8.806e-02 
3.94e+04;    4.390e-02 
3.95e+04;    2.108e-02 
3.96e+04;    9.704e-03 
3.97e+04;    4.254e-03 
3.98e+04;    1.777e-03 
3.99e+04;    7.145e-04 
4.00e+04;    2.732e-04 
4.01e+04;    1.553e-04 
4.02e+04;    4.721e-05 
4.03e+04;    1.269e-04 
4.04e+04;    3.218e-05 
4.05e+04;    3.345e-05 
4.06e+04;    7.212e-06 
4.07e+04;   -5.182e-06 
4.08e+04;   -5.424e-06 
4.09e+04;   -5.849e-06 
4.10e+04;   -2.948e-06 
4.11e+04;    2.650e-08 
4.12e+04;   -7.349e-07 
4.13e+04;   -2.294e-06 
4.14e+04;   -3.024e-06 
4.15e+04;   -1.042e-06 
4.16e+04;    2.466e-06 
4.17e+04;    7.680e-07 
4.18e+04;   -1.489e-06 
4.19e+04;   -3.089e-06 
4.20e+04;   -1.291e-06 
4.21e+04;    2.363e-06 
4.22e+04;   -2.357e-07 
4.23e+04;   -1.714e-06 
4.24e+04;   -2.870e-07 
4.25e+04;    4.033e-07 
4.26e+04;    9.955e-07 
4.27e+04;    4.153e-07 
4.28e+04;    7.990e-08 
